代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11492265.569999998435378
真實報酬,1492265.569999998435378

夏普值報酬,0.140526557000000
夏普值風險,0.042407444254651
夏普值,3.313723792364329

預期報酬,24904.808456507147639
風險,84332.394343914260389
趨勢值,0.295317222406177
找到最佳解世代,3340
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
CAT[3](12),DIS[6](5),KO[14](1),
Stock#,CAT[3](12),DIS[6](5),KO[14](1),
張數,42365,100704,113921,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,54.799999999813735,30.599999999627471,4.540000000037253,
20101001,3313845.099999999627471,3357501.959999999962747,3367509.299999999813735,10038857.359999999403954
20101004,3273598.349999999627471,3337361.159999999683350,3353838.780000000260770,9964799.289999999105930
20101005,3363835.800000000279397,3406846.919999999459833,3398267.969999999739230,10168951.689999999478459
20101006,3340958.699999999720603,3378649.799999999348074,3403964.020000000018626,10123573.519999999552965
20101007,3335874.899999999441206,3414903.239999999292195,3385736.659999999683350,10136515.799999998882413
20101008,3404929.850000000093132,3475325.639999999199063,3384597.450000000186265,10264853.939999999478459
20101011,3388407.500000000000000,3481367.879999999888241,3392571.920000000391155,10262348.300000000745058
20101012,3361293.899999999906868,3472304.519999999087304,3394850.340000000316650,10228449.759999999776483
20101013,3401540.649999999906868,3515607.239999999292195,3414216.909999999683350,10331365.799999998882413
20101014,3385441.949999999720603,3509565.000000000000000,3413077.700000000186265,10308085.649999998509884
20101015,3378663.549999999813735,3512586.120000000111759,3414216.909999999683350,10305467.580000000074506
20101018,3399422.399999999441206,3499494.599999999627471,3417634.540000000037253,10316552.539999999105930
20101019,3327825.549999999813735,3448135.560000000055879,3437001.110000000335276,10212963.219999998807907
20101020,3402811.599999999627471,3486403.079999999143183,3483708.719999999739230,10372924.399999998509884
20101021,3342229.649999999906868,3492445.319999999366701,3501936.080000000074506,10336612.049999998882413
20101022,3318505.249999999534339,3521649.479999999515712,3509910.549999999813735,10350066.279999997466803
20101025,3349008.049999999813735,3570994.439999999944121,3475734.250000000000000,10395737.740000000223517
20101026,3332062.050000000279397,3621346.439999999944121,3488265.560000000055879,10441675.050000000745058
20101027,3313845.099999999627471,3617318.279999999795109,3485987.140000000130385,10417151.519999999552965
20101028,3293509.899999999441206,3676733.639999999199063,3487126.350000000093132,10457370.889999998733401
20101029,3329943.799999999348074,3638466.120000000111759,3492822.399999999906868,10461233.320000000298023
20101101,3358328.349999999627471,3628395.719999999739230,3515606.600000000093132,10502331.669999999925494
20101102,3378663.549999999813735,3636452.039999999571592,3523581.069999999832362,10538697.660000000149012
20101103,3384170.999999999534339,3654578.759999999310821,3529277.120000000111759,10568027.879999998956919
20101104,3523975.500000000000000,3729099.719999999739230,3557757.370000000111759,10810833.589999999850988
20101105,3539226.899999999906868,3746219.399999999906868,3564592.629999999888241,10850039.929999999701977
20101108,3521433.600000000093132,3732120.839999999850988,3557757.370000000111759,10811312.809999998658895
20101109,3470171.949999999720603,3711980.039999999571592,3568010.260000000242144,10750163.250000000000000
20101110,3493472.699999999720603,3725071.560000000055879,3563453.420000000391155,10781998.679999999701977
20101111,3492625.399999999906868,3618325.319999999366701,3577123.939999999944121,10688075.659999998286366
20101112,3433314.399999999906868,3801606.599999999627471,3583959.200000000186265,10818881.199999999254942
20101115,3466359.099999999627471,3751254.599999999627471,3586237.620000000111759,10803852.320000000298023
20101116,3404929.850000000093132,3718022.279999999795109,3536112.379999999888241,10659065.509999999776483
20101117,3438821.850000000093132,3748233.479999999515712,3561175.000000000000000,10748231.330000000074506
20101118,3521009.949999999720603,3784486.919999999459833,3636362.860000000335276,10941860.730000000447035
20101119,3557443.849999999627471,3727085.639999999199063,3663703.899999999441206,10948234.389999996870756
20101122,3558714.799999999813735,3721043.399999999906868,3661425.479999999981374,10941184.679999999701977
20101123,3500674.749999999534339,3637459.079999999143183,3623831.549999999813735,10761966.379999998956919
20101124,3587946.649999999906868,3712987.079999999143183,3680792.050000000279397,10981726.779999999329448
20101126,3564222.249999999534339,3695867.399999999906868,3652311.800000000279397,10912402.449999999254942
20101129,3544734.350000000093132,3667670.279999999795109,3611300.239999999757856,10823705.869999999180436
20101130,3584133.799999999348074,3676733.639999999199063,3598768.930000000167638,10859637.369999999180436
20101201,3704874.049999999813735,3738163.079999999143183,3685348.890000000130385,11128387.019999999552965
20101202,3754441.100000000093132,3760317.959999999962747,3696740.990000000223517,11211501.050000000745058
20101203,3786638.499999999534339,3785493.959999999962747,3673956.790000000037253,11246090.250000000000000
20101206,3779012.799999999813735,3782472.839999999850988,3645476.540000000037253,11206963.179999999701977
20101207,3827732.549999999348074,3759310.919999999459833,3653451.010000000242144,11240495.479999998584390
20101208,3796806.100000000093132,3723057.479999999515712,3668260.740000000223517,11188125.320000000298023
20101209,3798924.350000000093132,3699895.560000000055879,3693323.360000000335276,11192144.269999999552965
20101210,3810362.899999999906868,3691839.239999999292195,3683070.469999999739230,11185273.609999999403954
20101213,3881959.749999999534339,3739170.120000000111759,3693323.360000000335276,11314454.230000000447035
20101214,3901447.649999999906868,3750247.560000000055879,3639780.489999999757856,11291476.699999999254942
20101215,3945083.600000000093132,3721043.399999999906868,3687627.309999999590218,11353755.309999998658895
20101216,3948472.799999999813735,3727085.639999999199063,3721803.610000000335276,11397363.050000000745058
20101217,3922630.149999999906868,3731113.799999999348074,3742309.390000000130385,11396054.339999999850988
20101220,3952709.299999999813735,3732120.839999999850988,3720664.399999999441206,11405495.539999999105930
20101221,4009054.749999999534339,3759310.919999999459833,3729778.080000000074506,11498144.750000000000000
20101222,4006512.849999999627471,3821747.399999999906868,3736613.339999999850988,11564874.589999999850988
20101223,4001429.049999999813735,3796571.399999999906868,3735474.129999999888241,11533475.579999998211861
20101227,3985330.349999999627471,3774416.519999999087304,3705854.670000000391155,11465602.539999999105930
20101228,3969231.649999999906868,3762332.039999999571592,3722942.819999999832362,11454507.509999999776483
20101229,3973044.500000000000000,3786501.000000000000000,3728638.869999999646097,11488185.369999999180436
20101230,3976857.350000000093132,3774416.519999999087304,3730917.290000000037253,11482192.160000000149012
20101231,3967960.699999999720603,3777437.639999999199063,3746866.229999999981374,11492265.569999998435378
