訓練日期,20120307 - 20120607
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10945384.179999999701977
真實報酬,945384.179999999701977

夏普值報酬,0.085838418000000
夏普值風險,0.025856276812306
夏普值,3.319829015720685

預期報酬,17200.425209843579069
風險,132817.261844922497403
趨勢值,0.129504440694816
找到最佳解世代,2333
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](1),TRV[22](2),WMT[28](8),
Stock#,KO[14](1),TRV[22](2),WMT[28](8),
張數,96955,58489,56525,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,20.099999999627471,44.889999999664724,53.750000000000000,
20120307,3335272.099999999627471,3326314.319999999366701,3383640.250000000000000,10045227.669999998062849
20120308,3358541.299999999813735,3339766.789999999571592,3378553.000000000000000,10076862.089999999850988
20120309,3370175.899999999441206,3369596.179999999701977,3396075.750000000000000,10135848.829999998211861
20120312,3401201.499999999534339,3369596.179999999701977,3429990.750000000000000,10200789.429999999701977
20120313,3406049.250000000000000,3416387.379999999422580,3448078.750000000000000,10270516.379999998956919
20120314,3404110.149999999441206,3447971.439999999944121,3452600.750000000000000,10304683.339999999850988
20120315,3409927.449999999720603,3455575.009999999776483,3461079.500000000000000,10326582.959999999031425
20120316,3401201.499999999534339,3462593.689999999944121,3439034.750000000000000,10302830.939999999478459
20120319,3412836.100000000093132,3457914.569999999366701,3433382.250000000000000,10304133.919999999925494
20120320,3422531.599999999161810,3460254.129999999422580,3425468.750000000000000,10308255.479999998584390
20120321,3447739.899999999906868,3422236.279999999329448,3423207.750000000000000,10293184.929999999701977
20120322,3462283.149999999906868,3390652.219999999739230,3428295.000000000000000,10281231.369999999180436
20120323,3465191.799999999813735,3404104.689999999944121,3433947.500000000000000,10303244.990000000223517
20120326,3485552.350000000093132,3442122.539999999571592,3459383.750000000000000,10387059.640000000596046
20120327,3484582.799999999348074,3420481.609999999403954,3453166.000000000000000,10358231.409999998286366
20120328,3522395.249999999534339,3437443.419999999925494,3458818.500000000000000,10418658.169999999925494
20120329,3578629.149999999441206,3430424.739999999757856,3437904.250000000000000,10446959.139999998733401
20120330,3588324.649999999441206,3462593.689999999944121,3459383.750000000000000,10510303.089999999850988
20120402,3594141.949999999720603,3470197.259999999776483,3468427.750000000000000,10532767.959999999031425
20120403,3575720.500000000000000,3467272.809999999590218,3428295.000000000000000,10471289.309999998658895
20120404,3561177.249999999534339,3463763.469999999739230,3406250.250000000000000,10431191.969999998807907
20120405,3562146.799999999813735,3443877.209999999962747,3429425.500000000000000,10435450.509999999776483
20120409,3533060.299999999348074,3395331.339999999385327,3398902.000000000000000,10327294.639999998733401
20120410,3491369.649999999441206,3377784.639999999664724,3387597.000000000000000,10256752.289999999105930
20120411,3496217.399999999906868,3402350.019999999552965,3380248.750000000000000,10278817.169999999925494
20120412,3501065.149999999441206,3456744.789999999571592,3399467.250000000000000,10357278.189999999478459
20120413,3487491.449999999720603,3399425.569999999366701,3378553.000000000000000,10265471.019999999552965
20120416,3511730.199999999720603,3460254.129999999422580,3424338.250000000000000,10396323.579999998211861
20120417,3585415.999999999534339,3508800.000000000000000,3497255.500000000000000,10591472.500000000000000
20120418,3596081.049999999813735,3478385.719999999739230,3507995.250000000000000,10582463.019999999552965
20120419,3578629.149999999441206,3608816.189999999944121,3490472.500000000000000,10677918.839999999850988
20120420,3594141.949999999720603,3670229.639999999664724,3530040.000000000000000,10794412.589999999850988
20120423,3572811.849999999627471,3679587.879999999422580,3365552.250000000000000,10617952.979999998584390
20120424,3593172.399999999906868,3706492.819999999366701,3265503.000000000000000,10565169.219999998807907
20120425,3632923.949999999720603,3730473.309999999590218,3242327.750000000000000,10605726.009999999776483
20120426,3669766.849999999627471,3788377.419999999459833,3332202.500000000000000,10790347.769999999552965
20120427,3715335.699999999720603,3743925.779999999795109,3336724.500000000000000,10795986.980000000447035
20120430,3699822.899999999441206,3762057.369999999180436,3329941.500000000000000,10791822.769999999552965
20120501,3729878.949999999720603,3778434.289999999105930,3338985.500000000000000,10847299.739999998360872
20120502,3740543.999999999534339,3786622.749999999534339,3335594.000000000000000,10862761.750000000000000
20120503,3754117.699999999720603,3787207.639999999664724,3334463.500000000000000,10875789.839999999850988
20120504,3732787.599999999627471,3772585.389999999664724,3318071.250000000000000,10823445.239999998360872
20120507,3746361.299999999813735,3777849.399999999906868,3345768.500000000000000,10869980.199999999254942
20120508,3739574.449999999720603,3766151.599999999627471,3337855.000000000000000,10843582.049999998882413
20120509,3722122.549999999813735,3738661.769999999552965,3336724.500000000000000,10797509.820000000298023
20120510,3753148.149999999906868,3780773.849999999627471,3345768.500000000000000,10879691.500000000000000
20120511,3756056.799999999813735,3779604.069999999832362,3358769.250000000000000,10894431.119999999180436
20120514,3726970.299999999348074,3771415.609999999869615,3338985.500000000000000,10837372.410000000149012
20120515,3711457.499999999534339,3752114.240000000223517,3354812.500000000000000,10818385.240000000223517
20120516,3700792.449999999720603,3720530.179999999701977,3345768.500000000000000,10767092.129999998956919
20120517,3641649.899999999906868,3667305.189999999944121,3486515.750000000000000,10795471.839999999850988
20120518,3590263.749999999534339,3636890.909999999683350,3528909.500000000000000,10756065.160000000149012
20120521,3612563.399999999441206,3667305.189999999944121,3563389.750000000000000,10843259.339999999850988
20120522,3597050.599999999627471,3674323.869999999646097,3602392.000000000000000,10873767.469999998807907
20120523,3597050.599999999627471,3674323.869999999646097,3602392.000000000000000,10873767.469999998807907
20120524,3662979.999999999534339,3695964.799999999348074,3678135.499999999534339,11037081.299999998882413
20120525,3647467.199999999254942,3661456.289999999571592,3691701.500000000000000,11000625.989999998360872
20120529,3658132.249999999534339,3677833.209999999962747,3712615.750000000465661,11048582.209999999031425
20120530,3638741.249999999534339,3619929.099999999627471,3699049.750000000000000,10957721.099999999627471
20120531,3623228.449999999254942,3655022.500000000000000,3720529.249999999534339,10998781.199999999254942
20120601,3543725.349999999161810,3543308.509999999776483,3705267.500000000000000,10792302.359999999403954
20120604,3569903.199999999720603,3531610.709999999962747,3730138.499999999534339,10831653.410000000149012
20120605,3550512.199999999254942,3556176.089999999385327,3702441.250000000000000,10809130.539999999105930
20120606,3617411.149999999906868,3605306.849999999627471,3726747.000000000465661,10949466.000000000000000
20120607,3600928.799999999813735,3621098.879999999422580,3723355.500000000465661,10945384.179999999701977
