訓練日期,20130920 - 20131220
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11268435.000000000000000
真實報酬,1268435.000000000000000

夏普值報酬,0.118143500000000
夏普值風險,0.042505763502805
夏普值,2.779470129790866

預期報酬,22113.633434473929810
風險,111283.230362793488894
趨勢值,0.198714877006908
找到最佳解世代,2886
找到最佳解實驗#,1
找到最佳解次數,25

stock[index](rank)
投資組合檔數,3
AAPL[0](1),NKE[19](2),XOM[29](11),
Stock#,AAPL[0](1),NKE[19](2),XOM[29](11),
張數,49404,95923,37335,
分配資金,3333333.000000000000000,3333333.000000000000000,3333333.000000000000000,
剩餘資金,45.120000000111759,8.750000000000000,64.200000000186265,
20130920,3298750.199999999720603,3327577.619999999646097,3310185.300000000279397,9936514.119999999180436
20130923,3462771.480000000447035,3308393.020000000018626,3276210.450000000186265,10047375.949999999254942
20130924,3451902.600000000558794,3330455.310000000055879,3261649.800000000279397,10044008.710000000894070
20130925,3398546.280000000260770,3305515.330000000074506,3253436.100000000093132,9957498.710000000894070
20130926,3431646.959999999962747,3373620.660000000149012,3250822.649999999906868,10056091.269999999552965
20130927,3406944.959999999962747,3531893.609999999869615,3244475.700000000186265,10183315.269999999552965
20130930,3364951.560000000055879,3483932.109999999869615,3212367.600000000558794,10061252.269999999552965
20131001,3443997.959999999962747,3473380.580000000074506,3210874.200000000186265,10128253.740000000223517
20131002,3455360.879999999888241,3448440.600000000093132,3213861.000000000000000,10117663.480000000447035
20131003,3411885.360000000335276,3435970.609999999869615,3192206.700000000186265,10040063.670000001788139
20131004,3408921.120000000111759,3459951.359999999869615,3222821.399999999906868,10091694.880000000819564
20131007,3442515.840000000316650,3421582.160000000149012,3207140.700000000186265,10071239.699999999254942
20131008,3394593.959999999962747,3370742.970000000204891,3192580.050000000279397,9957917.980000000447035
20131009,3434117.160000000149012,3400479.100000000093132,3179512.800000000279397,10014110.060000000521541
20131010,3455854.920000000391155,3522301.310000000055879,3212367.600000000558794,10190524.830000001937151
20131011,3478086.720000000204891,3523260.539999999571592,3246342.450000000186265,10247690.710000000894070
20131014,3500812.560000000055879,3552037.439999999944121,3270610.200000000186265,10323461.199999999254942
20131015,3519586.080000000074506,3534771.300000000279397,3240368.850000000558794,10294727.230000000447035
20131016,3536877.480000000447035,3574099.729999999981374,3259783.050000000279397,10370761.260000001639128
20131017,3560591.399999999906868,3575058.960000000428408,3266130.000000000465661,10401781.360000001266599
20131018,3591715.920000000391155,3642205.060000000055879,3268743.450000000186265,10502665.429999999701977
20131021,3679655.040000000502914,3649878.899999999906868,3256796.250000000465661,10586331.190000001341105
20131022,3669280.199999999720603,3643164.289999999571592,3284797.500000000465661,10597242.990000000223517
20131023,3704851.080000000074506,3623979.689999999944121,3270983.550000000279397,10599815.320000000298023
20131024,3754255.080000000074506,3622061.229999999981374,3301224.900000000372529,10677542.210000000894070
20131025,3712261.680000000167638,3630694.300000000279397,3284424.150000000372529,10627381.130000000819564
20131028,3739927.920000000391155,3622061.229999999981374,3294131.250000000465661,10656121.400000000372529
20131029,3646554.360000000335276,3641245.830000000074506,3320265.750000000465661,10608066.940000001341105
20131030,3704851.080000000074506,3651797.359999999869615,3315785.550000000279397,10672434.990000000223517
20131031,3689041.800000000279397,3633571.990000000223517,3346026.900000000372529,10668641.690000001341105
20131101,3670268.280000000260770,3647960.439999999944121,3353493.899999999906868,10671723.620000001043081
20131104,3717696.120000000111759,3663308.119999999646097,3438617.700000000186265,10819622.940000001341105
20131105,3708309.360000000335276,3702636.550000000279397,3434510.850000000093132,10845457.759999999776483
20131106,3676690.800000000279397,3681533.490000000223517,3480432.900000000372529,10838658.190000001341105
20131107,3616911.959999999962747,3630694.300000000279397,3433390.799999999813735,10680998.059999998658895
20131108,3674220.600000000558794,3698799.630000000353903,3462138.750000000465661,10835159.980000000447035
20131111,3663351.720000000204891,3700718.089999999850988,3470725.799999999813735,10834796.609999999403954
20131112,3670268.280000000260770,3687288.869999999646097,3459898.650000000372529,10817456.800000000745058
20131113,3674714.639999999664724,3733331.910000000149012,3456911.850000000093132,10864959.400000000372529
20131114,3727576.920000000391155,3771701.109999999869615,3480432.900000000372529,10979711.929999999701977
20131115,3705345.120000000111759,3799518.779999999795109,3556969.649999999906868,11061834.550000000745058
20131118,3660387.480000000447035,3768823.419999999925494,3563689.950000000186265,10992901.850000001490116
20131119,3666810.000000000000000,3732372.679999999701977,3562569.900000000372529,10961753.580000000074506
20131120,3634697.399999999906868,3733331.910000000149012,3534942.000000000465661,10902972.310000000521541
20131121,3678172.920000000391155,3745801.899999999906868,3535315.350000000093132,10959291.169999999925494
20131122,3668786.160000000149012,3783211.869999999646097,3547262.550000000279397,10999261.580000000074506
20131125,3696452.399999999906868,3795681.859999999869615,3550249.350000000093132,11042384.609999999403954
20131126,3764629.920000000391155,3817744.149999999906868,3519634.649999999906868,11102009.720000000670552
20131127,3853063.080000000074506,3805274.160000000149012,3502087.200000000186265,11160425.440000001341105
20131129,3924698.879999999888241,3795681.859999999869615,3490140.000000000465661,11210521.740000000223517
20131202,3890610.120000000111759,3793763.399999999906868,3491633.399999999906868,11176007.919999999925494
20131203,3996828.720000000204891,3795681.859999999869615,3524114.850000000093132,11316626.429999999701977
20131204,3987441.959999999962747,3780334.179999999701977,3534568.650000000372529,11302345.789999999105930
20131205,4008191.639999999664724,3787048.789999999571592,3514407.750000000000000,11309649.179999999701977
20131206,3952365.120000000111759,3830214.140000000130385,3571156.950000000186265,11353737.210000000894070
20131209,3997816.800000000279397,3826377.220000000204891,3578250.600000000093132,11402445.620000001043081
20131210,3991394.280000000260770,3799518.779999999795109,3573397.049999999813735,11364311.109999999403954
20131211,3961751.879999999888241,3685370.410000000149012,3519261.300000000279397,11166384.589999999850988
20131212,3956317.439999999944121,3656593.509999999776483,3560329.800000000279397,11173241.750000000000000
20131213,3912841.920000000391155,3664267.350000000093132,3558463.050000000279397,11135573.320000000298023
20131216,3934579.680000000167638,3666185.810000000055879,3629772.900000000372529,11230539.390000000596046
20131217,3916794.240000000223517,3681533.490000000223517,3612225.450000000186265,11210554.179999999701977
20131218,3887151.840000000316650,3767864.189999999944121,3716390.100000000558794,11371407.130000000819564
20131219,3842688.240000000223517,3753475.740000000223517,3712283.250000000465661,11308448.230000000447035
20131220,3874800.840000000316650,3709351.160000000149012,3684282.000000000465661,11268435.000000000000000
